maps from the slice local_claude_1/third-troll/smoke-maps-seed0.jsonl: 24
  OK  7b515d6db8085355 harvester          draw [2, 3, 8, 8, 4]  arm 2nd 1 1 1 1 @35  3rd 2 3 0 3 @113 (funding 78 turns, idle max arm/resident [0, 0] after horizon [0, 0])  plants 15 (first @4)  resident 2nd 1 2 0 1 @18  own 216 vs 154  telemetry 0
  OK  64b1d4b14f026f9f chopper_aggressor  draw [7, 8, 6, 6, 6]  arm 2nd 2 2 1 2 @1  3rd 2 3 0 3 @72 (funding 71 turns, idle max arm/resident [2, 0] after horizon [0, 50])  plants 11 (first @4)  resident 2nd 2 2 0 2 @1  own 156 vs 130  telemetry 0
  OK  c84154d29ea19fbc harvester          draw [10, 2, 2, 2, 6]  arm 2nd 3 1 1 3 @34  3rd 2 3 0 3 @89 (funding 55 turns, idle max arm/resident [0, 0] after horizon [0, 50])  plants 4 (first @4)  resident 2nd 3 1 0 3 @10  own 120 vs 60  telemetry 0
  OK  b086e0e6163a45ac chopper_aggressor  draw [3, 4, 4, 4, 7]  arm 2nd 1 2 1 2 @32  3rd 2 3 0 3 @88 (funding 56 turns, idle max arm/resident [0, 0] after horizon [0, 80])  plants 7 (first @4)  resident 2nd 1 2 0 2 @8  own 152 vs 96  telemetry 0
  OK  89e906123ff36a86 harvester          draw [7, 7, 10, 10, 8]  arm 2nd 2 2 1 3 @20  3rd 2 3 0 3 @80 (funding 60 turns, idle max arm/resident [3, 0] after horizon [0, 0])  plants 18 (first @4)  resident 2nd 2 2 0 3 @14  own 240 vs 212  telemetry 0
  OK  a6062948c27575a8 chopper_aggressor  draw [7, 5, 6, 3, 3]  arm 2nd 2 2 1 1 @35  3rd 2 3 0 2 @94 (funding 59 turns, idle max arm/resident [0, 0] after horizon [0, 80])  plants 8 (first @4)  resident 2nd 3 2 0 1 @21  own 132 vs 116  telemetry 0
  OK  50bcce5e7ae4a14c harvester          draw [5, 2, 6, 4, 8]  arm 2nd 2 1 1 2 @35  3rd 2 3 0 3 @80 (funding 45 turns, idle max arm/resident [0, 0] after horizon [0, 80])  plants 9 (first @4)  resident 2nd 2 2 0 2 @20  own 124 vs 112  telemetry 0
  OK  daadbfd7e8423f86 chopper_aggressor  draw [7, 3, 2, 8, 4]  arm 2nd 2 1 1 2 @30  3rd 2 3 0 3 @116 (funding 86 turns, idle max arm/resident [0, 0] after horizon [0, 50])  plants 12 (first @4)  resident 2nd 2 1 0 2 @10  own 140 vs 100  telemetry 0
  OK  b6a5501980dd849a harvester          draw [6, 2, 4, 8, 6]  arm 2nd 2 1 1 2 @1  3rd 2 3 0 3 @112 (funding 111 turns, idle max arm/resident [0, 0] after horizon [0, 80])  plants 12 (first @58)  resident 2nd 2 1 0 2 @1  own 160 vs 96  telemetry 0
  OK  19111bc9b90011bb chopper_aggressor  draw [5, 7, 3, 10, 5]  arm 2nd 2 2 1 2 @1  3rd 2 3 0 3 @80 (funding 79 turns, idle max arm/resident [0, 3] after horizon [0, 50])  plants 14 (first @8)  resident 2nd 2 2 0 2 @1  own 116 vs 121  telemetry 0
  OK  b91f102962423ddd harvester          draw [2, 2, 2, 3, 8]  arm 2nd 1 1 1 2 @1  3rd 2 3 0 2 @117 (funding 116 turns, idle max arm/resident [0, 0] after horizon [0, 71])  plants 7 (first @54)  resident 2nd 1 1 0 2 @1  own 176 vs 80  telemetry 0
  OK  6d81a00871f22f23 chopper_aggressor  draw [9, 10, 9, 9, 9]  arm 2nd 2 2 1 3 @35  3rd 2 3 0 2 @78 (funding 43 turns, idle max arm/resident [2, 0] after horizon [0, 50])  plants 17 (first @4)  resident 2nd 2 3 0 3 @16  own 172 vs 198  telemetry 0
  OK  c14dea6aa5d28951 harvester          draw [2, 9, 9, 8, 5]  arm 2nd 1 2 1 2 @1  3rd 2 3 0 1 @193 (funding 192 turns, idle max arm/resident [12, 0] after horizon [0, 47])  plants 16 (first @6)  resident 2nd 1 2 0 2 @1  own 136 vs 148  telemetry 0
  OK  78e4df84516e04d1 chopper_aggressor  draw [10, 8, 8, 8, 6]  arm 2nd 2 2 1 2 @35  3rd 2 3 0 3 @88 (funding 53 turns, idle max arm/resident [0, 1] after horizon [0, 50])  plants 16 (first @4)  resident 2nd 3 3 0 2 @10  own 136 vs 168  telemetry 0
  OK  33261cf926f7a3eb harvester          draw [2, 6, 3, 7, 10]  arm 2nd 1 2 1 3 @1  3rd 2 3 0 3 @122 (funding 121 turns, idle max arm/resident [6, 0] after horizon [0, 58])  plants 8 (first @6)  resident 2nd 1 2 0 3 @1  own 192 vs 137  telemetry 0
  OK  2433a442a41ce6cb chopper_aggressor  draw [2, 6, 8, 4, 5]  arm 2nd 1 2 1 2 @1  3rd 2 3 0 2 @101 (funding 100 turns, idle max arm/resident [0, 0] after horizon [0, 50])  plants 10 (first @4)  resident 2nd 1 2 0 2 @1  own 160 vs 136  telemetry 0
  OK  7a082aa227d4192a harvester          draw [6, 9, 8, 8, 6]  arm 2nd 2 2 1 2 @1  3rd 2 3 0 3 @60 (funding 59 turns, idle max arm/resident [0, 0] after horizon [0, 64])  plants 16 (first @4)  resident 2nd 2 2 0 2 @1  own 212 vs 164  telemetry 0
  OK  62694c8c0a48cf44 chopper_aggressor  draw [10, 10, 9, 7, 10]  arm 2nd 3 3 1 3 @1  3rd 2 3 0 3 @67 (funding 66 turns, idle max arm/resident [9, 0] after horizon [0, 80])  plants 15 (first @31)  resident 2nd 3 3 0 3 @1  own 224 vs 200  telemetry 0
  OK  21d2746745cd7896 harvester          draw [5, 7, 3, 2, 9]  arm 2nd 2 2 1 3 @28  3rd 2 3 0 3 @98 (funding 70 turns, idle max arm/resident [0, 0] after horizon [0, 50])  plants 6 (first @4)  resident 2nd 2 2 0 3 @10  own 140 vs 92  telemetry 0
  OK  2d8f315778eba2a8 chopper_aggressor  draw [3, 4, 2, 10, 9]  arm 2nd 1 2 1 2 @30  3rd 2 3 0 3 @98 (funding 68 turns, idle max arm/resident [0, 0] after horizon [0, 50])  plants 14 (first @4)  resident 2nd 1 2 0 2 @20  own 176 vs 124  telemetry 0
  OK  879f73412b531333 harvester          draw [6, 6, 4, 4, 6]  arm 2nd 2 2 1 2 @1  3rd 2 3 0 3 @94 (funding 93 turns, idle max arm/resident [0, 0] after horizon [0, 50])  plants 8 (first @4)  resident 2nd 2 2 0 2 @1  own 144 vs 108  telemetry 0
  OK  80385f5fdcac43f7 chopper_aggressor  draw [2, 7, 8, 6, 10]  arm 2nd 2 2 1 3 @22  3rd 2 3 0 3 @85 (funding 63 turns, idle max arm/resident [0, 0] after horizon [0, 50])  plants 12 (first @4)  resident 2nd 2 2 0 3 @14  own 184 vs 154  telemetry 0
  OK  d9c8059a3038862e harvester          draw [4, 10, 3, 4, 3]  arm 2nd 2 2 1 1 @35  3rd 2 3 0 2 @110 (funding 75 turns, idle max arm/resident [0, 0] after horizon [0, 33])  plants 9 (first @4)  resident 2nd 2 3 0 1 @10  own 252 vs 228  telemetry 0
  OK  b64b9915e3f228af chopper_aggressor  draw [10, 10, 8, 7, 9]  arm 2nd 2 3 1 2 @35  3rd 2 3 0 2 @72 (funding 37 turns, idle max arm/resident [0, 0] after horizon [0, 80])  plants 15 (first @4)  resident 2nd 3 3 0 3 @16  own 244 vs 224  telemetry 0

  PASS  mechanics ok on 24/24 maps; a third troll in 24/24 games, median turn 94, funding median 70 turns; no third troll: {}; stalled: []; own-score sum arm − resident = +746 over 24 games (+746 on the 24 third-troll maps) (a fact, not a verdict)  -> local_claude_1/third-troll/results/smoke-orchard4.json
